train_loss,train_acc,val_loss,val_acc
1.4248168349266053,0.45,0.8118946846551115,0.7421383647798742
1.2880304479598998,0.46,0.5872441712040571,0.7610062893081762
0.9874101126194,0.6,0.5539826912418852,0.8113207547169812
1.281281542778015,0.52,0.6190220796087254,0.8427672955974843
0.9690036535263061,0.67,0.5457068205629505,0.8176100628930818
0.7751423907279968,0.65,0.47411633643714135,0.8490566037735849
1.176040027141571,0.56,0.6111054544178944,0.8364779874213837
0.9077576953172684,0.62,0.6565090551410081,0.7358490566037735
1.1163457036018372,0.51,0.5642042726090869,0.8176100628930818
1.0638372492790222,0.55,0.5914518866898879,0.8742138364779874
0.8734025347232819,0.7,0.5164051072777442,0.9182389937106918
1.001044750213623,0.64,0.5168273320550438,0.9056603773584906
0.9424442744255066,0.63,0.4744689447231263,0.8553459119496856
0.8151463013887406,0.71,0.4426848148962237,0.8742138364779874
0.7982885897159576,0.65,0.4264511853081625,0.9119496855345912
0.8905736255645752,0.61,0.4241688911738636,0.8867924528301887
0.8233539044857026,0.69,0.37573252951011715,0.9182389937106918
0.8203863948583603,0.64,0.410647876982419,0.9182389937106918
0.8038625299930573,0.71,0.4097678263513547,0.9182389937106918
0.7303828012943268,0.7,0.37754099741109515,0.9119496855345912
0.8646265661716461,0.58,0.3862134194317854,0.8930817610062893
0.7256519758701324,0.67,0.40770543933664477,0.9119496855345912
0.6838119751214982,0.76,0.3488855149667218,0.949685534591195
0.7729935693740845,0.72,0.3280405316431567,0.9119496855345912
0.8968942940235138,0.66,0.3603504794948506,0.9182389937106918
0.6947739601135254,0.71,0.3706543747827692,0.9119496855345912
0.8198568880558014,0.68,0.3651747462228409,0.9182389937106918
0.6178524854779244,0.78,0.3557057593416118,0.9308176100628931
0.6430712193250656,0.69,0.3498705285337736,0.9433962264150944
0.7377348285913468,0.74,0.3508760600157504,0.9433962264150944
0.6377565848827362,0.75,0.34015098153232776,0.9433962264150944
0.7836905178427697,0.66,0.34421391079916897,0.9245283018867925
0.6208602249622345,0.81,0.3293798786804736,0.9433962264150944
0.7031102341413498,0.74,0.3415242033372135,0.9182389937106918
0.7453559732437134,0.69,0.32830171066822494,0.9433962264150944
0.722430202960968,0.74,0.32846276822892373,0.949685534591195
0.663548594713211,0.73,0.3417034977871292,0.9371069182389937
0.5983818501234055,0.75,0.3386449191320992,0.9308176100628931
0.6909404969215394,0.79,0.343872264613333,0.9371069182389937
0.6917870354652405,0.73,0.35005843683889826,0.9182389937106918
0.658205913901329,0.77,0.32641184149579433,0.9371069182389937
0.8701142823696136,0.66,0.3311901227717505,0.9308176100628931
0.7347644093632698,0.66,0.34370624843352243,0.9308176100628931
0.561172388792038,0.79,0.34214615976473073,0.9245283018867925
0.6571776908636093,0.72,0.33909550426328705,0.9433962264150944
0.5348748660087586,0.83,0.33257970274806775,0.9371069182389937
0.6320841252803803,0.76,0.3345629933682628,0.9371069182389937
0.7031193149089813,0.69,0.3138934899144952,0.949685534591195
0.687132069170475,0.73,0.33675792738326693,0.9308176100628931
0.6515404951572418,0.73,0.3368945019612522,0.9308176100628931
0.5588474196195602,0.79,0.3270634220409318,0.9433962264150944
0.678778748512268,0.73,0.3256208801513198,0.9371069182389937
0.5005932092666626,0.83,0.32569182954681747,0.9433962264150944
0.6471819821000099,0.72,0.3215711252213274,0.949685534591195
0.7364342564344406,0.74,0.33383442644240724,0.9371069182389937
0.639717104434967,0.8,0.3350590772270781,0.9371069182389937
0.5340234941244125,0.83,0.32917514412939175,0.9371069182389937
0.8986766603589058,0.65,0.3380269246093882,0.9371069182389937
0.7265724366903306,0.71,0.3268009364698668,0.9433962264150944
0.5141088706254959,0.84,0.3242859613829814,0.9371069182389937
0.6769576063752174,0.7,0.32268153013860656,0.9433962264150944
0.6701346850395202,0.73,0.3156544757104895,0.9433962264150944
0.6111492073535919,0.78,0.31872990814113766,0.9433962264150944
0.6045935392379761,0.78,0.3349083890236399,0.9433962264150944
0.7325640803575516,0.7,0.33088573818124317,0.9308176100628931
0.606814312338829,0.76,0.33143590147015434,0.9308176100628931
0.8406864410638809,0.66,0.32576167452260385,0.9433962264150944
0.7294028621912002,0.72,0.32463226565774883,0.9371069182389937
