train_loss,train_acc,val_loss,val_acc
1.6263494714101157,0.44666666666666666,0.9368012670530091,0.5229357798165137
1.1065565005938212,0.5466666666666666,0.7289020434457706,0.5412844036697247
1.1080216828982035,0.5533333333333333,0.683880525525796,0.7522935779816514
1.0186494199434917,0.5733333333333334,0.6047562006775529,0.7706422018348624
0.957978413105011,0.6266666666666667,0.531176744452934,0.8532110091743119
0.9955143483479818,0.58,0.47475764914196833,0.8715596330275229
0.9729759311676025,0.6,0.4510421362543188,0.908256880733945
0.9670782768726349,0.64,0.5066326450307665,0.8623853211009175
0.9654308334986369,0.64,0.4176095751364643,0.8715596330275229
0.9638892936706543,0.6066666666666667,0.43518565035929235,0.8899082568807339
0.9212836531798044,0.66,0.48140844059646143,0.8532110091743119
0.8760365891456604,0.6,0.4417676164935783,0.8532110091743119
1.0196806573867798,0.6466666666666666,0.4976604388291956,0.8165137614678899
0.8207977336645126,0.7266666666666667,0.4237884256355689,0.8623853211009175
0.8056712424755097,0.6866666666666666,0.35150990436860086,0.8899082568807339
0.8661263700326284,0.6133333333333333,0.43900457612288085,0.8532110091743119
0.7480430889129639,0.6866666666666666,0.3434827899866857,0.908256880733945
0.7260779118537903,0.76,0.42758447583818193,0.8256880733944955
0.71782974421978,0.7066666666666667,0.35184298018204,0.8623853211009175
0.7668702348073324,0.7066666666666667,0.4141050074986447,0.8073394495412844
0.7684039918581644,0.7,0.36176381159414656,0.8807339449541285
0.7508560637633006,0.74,0.4045224357830585,0.8623853211009175
0.7947399504979451,0.6866666666666666,0.36918284176554655,0.8807339449541285
0.7133603225151698,0.7333333333333333,0.3909113504871146,0.8807339449541285
0.7039459850390752,0.7333333333333333,0.34768988624280006,0.8899082568807339
0.646811270515124,0.8066666666666666,0.3408034440941565,0.908256880733945
0.6609669471780459,0.74,0.33671659572358237,0.8899082568807339
0.765985424121221,0.6933333333333334,0.3290753169067686,0.908256880733945
0.7403335762023926,0.6533333333333333,0.36538862225000757,0.8715596330275229
0.6139100524783134,0.78,0.34219079608217084,0.8623853211009175
0.713063327272733,0.7466666666666667,0.36507066370754604,0.8807339449541285
0.7123892466227214,0.6866666666666666,0.3635341791642206,0.8807339449541285
0.5930664392312368,0.8066666666666666,0.37624122768813006,0.8807339449541285
0.6143572457631429,0.7733333333333333,0.3081937849248216,0.8899082568807339
0.6558514866232872,0.7533333333333333,0.3535234718968005,0.8715596330275229
0.6073782340685526,0.7733333333333333,0.3673476158478396,0.8715596330275229
0.6068430608510971,0.7533333333333333,0.33347337234993685,0.8807339449541285
0.686645708878835,0.7133333333333334,0.3286324742190314,0.8990825688073395
0.6050563222169876,0.76,0.3790089809292859,0.8623853211009175
0.5813065932194392,0.76,0.36158578439518274,0.8715596330275229
0.7953162008523941,0.6866666666666666,0.37554182175858214,0.8623853211009175
0.7173085798819859,0.7133333333333334,0.37304775475339064,0.8623853211009175
0.5673051039377849,0.7733333333333333,0.36524785562694284,0.8807339449541285
0.7737446529666583,0.7,0.3809059690156907,0.8807339449541285
0.6764627397060394,0.76,0.35508971162163533,0.8715596330275229
0.596245706876119,0.7466666666666667,0.36999316949975664,0.8715596330275229
0.5979115570336581,0.7666666666666667,0.389724636022914,0.8623853211009175
0.6418184779087702,0.76,0.3325630020384301,0.8807339449541285
0.6161651643117269,0.7933333333333333,0.3403232960936064,0.8715596330275229
0.6389315861463547,0.7666666666666667,0.37671813847274904,0.8807339449541285
0.5796573789914449,0.7733333333333333,0.3480149050700583,0.8807339449541285
0.6145632982254028,0.7533333333333333,0.38649411977960824,0.8623853211009175
0.6928945350646972,0.74,0.35439647603171254,0.8715596330275229
0.6425374073783556,0.7733333333333333,0.36034641606271606,0.8715596330275229
