finetune_num_samples,val_acc,val_loss,run_dir
5,0.7204724409448819,0.7563436395070684,./logger_finetuning/20260320_190928__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_5
10,0.8112449799196787,0.6542772389200318,./logger_finetuning/20260320_190933__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_10
20,0.8577405857740585,0.5121535507720509,./logger_finetuning/20260320_190938__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_20
40,0.8812785388127854,0.39219473043805386,./logger_finetuning/20260320_190947__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_40
80,0.9385474860335196,0.30187717471375813,./logger_finetuning/20260320_190954__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_80
100,0.949685534591195,0.3103671678863231,./logger_finetuning/20260320_191000__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_100
150,0.8899082568807339,0.3081937849248216,./logger_finetuning/20260320_191008__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_150
200,0.8983050847457628,0.26700984017323637,./logger_finetuning/20260320_191017__FT_CNN__lr_0p01__ep_200__body+hand__top_level_ft_sweep__n_200
